Brnd_Name,Gnrc_Name,Tot_Spndng_2019,Tot_Spndng_2023,Avg_Spnd_Per_Clm_2023,Tot_Clms_2023
Alosetron HCl,Alosetron HCl,1174253.17,206497.5,348.8133446,592
Aloxi,Palonosetron HCl,12723212.88,932103.22,358.7772209,2598
Aloxi,Palonosetron HCl,282082.51,859.21,27.71645161,31
Aloxi,Palonosetron HCl,12441130.37,931244.01,362.7752279,2567
Alphagan P,Brimonidine Tartrate,11954621.71,15420945.48,292.8787625,52653
Alphagan P,Brimonidine Tartrate,11954621.71,15420945.48,292.8787625,52653
Alphanate,Antihemophilic Factor/VWF,35652792.43,18576965.06,11070.89694,1678
Alphanate,Antihemophilic Factor/VWF,35652792.43,18576965.06,11070.89694,1678
Alphanine SD,Factor IX,6618646.85,4474761.39,25139.10893,178
Alphanine SD,Factor IX,6618646.85,4474761.39,25139.10893,178
Alprazolam,Alprazolam,28805008.97,29426480.88,8.514912248,3455876
Alprazolam,Alprazolam,3453035.05,1448773.87,7.818025114,185312
Alprazolam,Alprazolam,890243.54,52753.91,787.371791,67
Alprazolam,Alprazolam,3540509.88,2575525.26,10.82881458,237840
Alprazolam,Alprazolam,1116047.5,7723545.44,8.175174797,944756
Alprazolam,Alprazolam,2139385.87,5781894.8,9.272915761,623525
Alprazolam,Alprazolam,10118565.27,11804760.26,8.065895199,1463540
Alprazolam,Alprazolam,1907.77,1945.49,8.314059829,234
Alprazolam,Alprazolam,6408951.59,8623.75,29.13429054,296
Alprazolam,Alprazolam,1035551.45,219.59,7.083548387,31
Alprazolam,Alprazolam,1388.53,,,
Alprazolam,Alprazolam,100811.05,27049.98,370.5476712,73
Alprazolam ER,Alprazolam,549649.02,588604.77,16.33742561,36028
Alprazolam ER,Alprazolam,368.23,,,
Alprazolam ER,Alprazolam,419544.64,519494.65,16.34401919,31785
Alprazolam ER,Alprazolam,130104.38,68741.89,16.24335775,4232
Alprazolam Intensol,Alprazolam,62484.31,65341.14,187.7618966,348
Alprazolam Intensol,Alprazolam,62484.31,65341.14,187.7618966,348
Alprazolam ODT,Alprazolam,304464.1,280880.47,63.23288384,4442
Alprazolam ODT,Alprazolam,207464.61,4574.12,60.98826667,75
Alprazolam ODT,Alprazolam,96999.49,276306.35,63.27143348,4367
Alprazolam XR,Alprazolam,177431.22,142586.87,15.97611989,8925
Alprazolam XR,Alprazolam,177431.22,142586.87,15.97611989,8925
Alprolix,"Factor IX Rec, Fc Fusion Protn",89193760.85,128174339,32714.2264,3918
Alprolix,"Factor IX Rec, Fc Fusion Protn",89193760.85,128174339,32714.2264,3918
Alprostadil,Alprostadil,7212.16,1131.99,15.29716216,74
Alprostadil,Alprostadil,7212.16,1131.99,15.29716216,74
Alrex,Loteprednol Etabonate,2216167.96,3229021.11,348.480586,9266
Alrex,Loteprednol Etabonate,2216167.96,3229021.11,348.480586,9266
Altace,Ramipril,50810.6,29039.19,329.9907955,88
Altace,Ramipril,50810.6,29039.19,329.9907955,88
Altavera,Levonorgestrel/Ethin.Estradiol,202172.41,762242.01,16.61019852,45890
Altavera,Levonorgestrel/Ethin.Estradiol,202172.41,762242.01,16.61019852,45890
Altoprev,Lovastatin,195581.76,142715.1,1568.297802,91
Altoprev,Lovastatin,195581.76,142715.1,1568.297802,91
Altreno,Tretinoin,35923.21,173162.8,98.89366077,1751
